X,Y,FID,year_,MSHA_ID,name,type_,mstafips,state,county,mctyfips,lat,lon,unit,tot_prod,notes
-87.278611,33.706666,1,2020,100347,Choctaw Mine,Surface,1,Alabama,Walker,127,33.706666,-87.278611,short tons,"217,646",
-87.2030559999999,33.6963890000001,2,2020,100627,Flat Top Mine,Surface,1,Alabama,Jefferson,73,33.696389,-87.203056,short tons,"239,590",
-87.1388889999999,33.4422220000001,3,2020,100851,Oak Grove Mine,Underground,1,Alabama,Jefferson,73,33.442222,-87.138889,short tons,"1,608,068",
-87.3313889999999,33.328611,4,2020,101247,No 4 Mine,Underground,1,Alabama,Tuscaloosa,125,33.328611,-87.331389,short tons,"2,156,095",
-87.213611,33.3741670000001,5,2020,101401,No 7 Mine,Underground,1,Alabama,Jefferson,73,33.374167,-87.213611,short tons,"5,708,153",
-87.303889,33.5194440000001,6,2020,102901,Shoal Creek Mine,Underground,1,Alabama,Walker,127,33.519444,-87.303889,short tons,"714,831",
-87.3397219999999,33.329167,7,2020,103172,"Searles Mine No. 2, 3, 4, 5, 6",Surface,1,Alabama,Tuscaloosa,125,33.329167,-87.339722,short tons,"67,467",
-86.910833,33.7241670000001,8,2020,103285,Narley Mine,Surface,1,Alabama,Jefferson,73,33.724167,-86.910833,short tons,"13,813",
-86.8422219999999,33.1816670000001,9,2020,103381,Hwm 58,Surface,54,West Virginia,Nicholas,67,33.181667,-86.842222,short tons,"113,799",
-87.530833,33.8730560000001,10,2020,103389,Carbon Hill Mine,Underground,1,Alabama,Walker,127,33.873056,-87.530833,short tons,"103,699",
-87.1405559999999,33.602222,11,2020,103419,Maxine-Pratt Mine,Underground,1,Alabama,Jefferson,73,33.602222,-87.140556,short tons,"159,870",
-87.372777,33.7961110000001,12,2020,103421,Slate Creek Mine,Surface,1,Alabama,Walker,127,33.796111,-87.372777,short tons,"97,413",
-87.3091669999999,33.3108330000001,13,2020,103436,Swann's Crossing,Surface,1,Alabama,Tuscaloosa,125,33.310833,-87.309167,short tons,"78,157",
-86.8619439999999,33.7383330000001,14,2020,103437,Black Warrior Mine No 1,Surface,1,Alabama,Jefferson,73,33.738333,-86.861944,short tons,"222,842",
-86.9999999999999,33.0000000000001,15,2020,103455,Weller Mine,Surface,1,Alabama,Jefferson,73,33,-87,short tons,"37,565",
-87.361389,33.257778,16,2020,103487,Carter Mine,Surface,1,Alabama,Tuscaloosa,125,33.257778,-87.361389,short tons,"8,898",
-85.7225,34.5780560000001,17,2020,103489,John Poe Mine,Surface,1,Alabama,De Kalb,49,34.578056,-85.7225,short tons,"17,865",
