State&County,Total_Population,Levels_Smokers,Surface_Mines,Underground_Mines,Levels_COPD
"Graham, Arizona","38,837",17.4,0.0,0.0,6.6
"Prince of Wales-Hyder, Alaska","6,203",25.6,0.0,0.0,7.9
"Conecuh, Alabama","12,067",25.1,0.0,0.0,9.4
"Nevada, Arkansas","8,252",23.0,0.0,0.0,8.5
"Tehama, California","65,084",16.6,0.0,0.0,7.2
"San Diego, California","3,338,330",11.0,0.0,0.0,4.6
"Clark, Arkansas","22,320",20.5,0.0,0.0,7.9
"Drew, Arkansas","18,219",21.5,0.0,0.0,8.3
"La Plata, Colorado","56,221",14.2,0.0,0.0,4.5
"San Joaquin, California","762,148",13.9,0.0,0.0,5.3
"Garfield, Colorado","60,061",14.5,0.0,0.0,4.9
"Sevier, Arkansas","17,007",20.3,0.0,0.0,8.3
"Calaveras, California","45,905",15.0,0.0,0.0,5.8
"Clear Creek, Colorado","9,700",13.7,0.0,0.0,4.4
"Aleutians East, Alaska","3,337",19.5,0.0,0.0,5.7
"Pitkin, Colorado","17,767",11.0,0.0,0.0,3.7
"Etowah, Alabama","102,268",23.5,0.0,0.0,8.7
"Sitka, Alaska","8,493",17.2,0.0,0.0,5.4
"Kit Carson, Colorado","7,097",17.7,0.0,0.0,5.8
"Bullock, Alabama","10,101",25.2,0.0,0.0,9.2
"Pinal, Arizona","462,789",17.4,0.0,0.0,6.2
"Tallapoosa, Alabama","40,367",23.6,0.0,0.0,8.9
"Cleburne, Arkansas","24,919",24.4,0.0,0.0,8.4
"Archuleta, Colorado","14,029",14.2,0.0,0.0,4.8
"Yuba, California","78,668",14.8,0.0,0.0,6.1
"Monroe, Arkansas","6,701",25.9,0.0,0.0,9.9
"Clay, Arkansas","14,551",25.0,0.0,0.0,10.0
"Napa, California","137,744",10.8,0.0,0.0,4.4
"Lake and Peninsula, Alaska","1,592",29.3,0.0,0.0,9.3
"Montgomery, Arkansas","8,986",25.0,0.0,0.0,9.8
"Escambia, Alabama","36,633",24.6,0.0,0.0,9.7
"Chambers, Alabama","33,254",23.6,0.0,0.0,8.7
"Sutter, California","96,971",14.7,0.0,0.0,5.9
"nan, United States","328,239,523",15.7,0.0,0.0,5.9
"Cross, Arkansas","16,419",24.6,0.0,0.0,9.0
"Desha, Arkansas","11,361",26.2,0.0,0.0,10.1
"Jefferson, Arkansas","66,824",24.0,0.0,0.0,8.5
"Jackson, Alabama","51,626",24.1,0.0,0.0,9.7
"Ouachita, Arkansas","23,382",24.2,0.0,0.0,9.3
"Mono, California","14,444",12.9,0.0,0.0,5.3
"Randolph, Alabama","22,722",23.3,0.0,0.0,8.8
"Valdez-Cordova, Alaska","9,202",17.1,0.0,0.0,5.4
"Park, Colorado","18,845",15.7,0.0,0.0,4.9
"Placer, California","398,329",11.0,0.0,0.0,4.4
"Blount, Alabama","57,826",22.2,0.0,0.0,8.7
"Van Buren, Arkansas","16,545",25.3,0.0,0.0,9.9
"Gila, Arizona","54,018",19.8,0.0,0.0,7.6
"Dallas, Alabama","37,196",24.3,0.0,0.0,9.4
"Fremont, Colorado","47,839",18.6,0.0,0.0,6.2
"Costilla, Colorado","3,887",17.3,0.0,0.0,6.1
"Arkansas, Arkansas","17,486",23.7,0.0,0.0,8.8
"Faulkner, Arkansas","126,007",20.0,0.0,0.0,7.6
"Ouray, Colorado","4,952",12.6,0.0,0.0,4.2
"Merced, California","277,680",14.4,0.0,0.0,5.9
"Otero, Colorado","18,278",17.3,0.0,0.0,6.1
"Las Animas, Colorado","14,506",15.8,0.0,0.0,5.3
"Yuma, Arizona","213,787",15.1,0.0,0.0,6.4
"St. Clair, Alabama","89,512",23.1,0.0,0.0,8.3
"Talladega, Alabama","79,978",25.0,0.0,0.0,9.3
"Perry, Arkansas","10,455",23.8,0.0,0.0,9.2
"Crowley, Colorado","6,061",20.7,0.0,0.0,6.8
"St. Francis, Arkansas","24,994",24.6,0.0,0.0,9.4
"Craighead, Arkansas","110,332",21.6,0.0,0.0,7.9
"Ketchikan Gateway, Alaska","13,901",19.5,0.0,0.0,5.9
"Cullman, Alabama","83,768",23.4,0.0,0.0,8.8
"Dale, Alabama","49,172",22.0,0.0,0.0,8.2
"Mobile, Alabama","413,210",21.4,0.0,0.0,8.0
"Wrangell, Alaska","2,502",21.4,0.0,0.0,6.7
"Bibb, Alabama","22,394",25.2,0.0,0.0,9.2
"Bethel, Alaska","18,386",34.9,0.0,0.0,11.6
"Shasta, California","180,080",16.1,0.0,0.0,6.4
"Mineral, Colorado",769,13.4,0.0,0.0,4.6
"Pickens, Alabama","19,930",23.4,0.0,0.0,9.1
"Cleburne, Alabama","14,910",23.8,0.0,0.0,9.2
"Autauga, Alabama","55,869",19.7,0.0,0.0,7.5
"Alamosa, Colorado","16,233",16.5,0.0,0.0,5.7
"Greene, Arkansas","45,325",23.8,0.0,0.0,8.8
"Dallas, Arkansas","7,009",23.5,0.0,0.0,8.5
"Southeast Fairbanks, Alaska","6,893",20.9,0.0,0.0,6.5
"Baxter, Arkansas","41,932",22.3,0.0,0.0,8.3
"Pope, Arkansas","64,072",20.8,0.0,0.0,8.5
"Mendocino, California","86,749",14.8,0.0,0.0,6.2
"Orange, California","3,175,692",10.4,0.0,0.0,4.1
"Lake, California","64,386",16.5,0.0,0.0,6.8
"Marshall, Alabama","96,774",22.3,0.0,0.0,8.9
"Randolph, Arkansas","17,958",25.1,0.0,0.0,10.2
"Colusa, California","21,547",13.5,0.0,0.0,5.4
"Madera, California","157,327",14.1,0.0,0.0,6.1
"Jackson, Colorado","1,392",17.2,0.0,0.0,5.7
"Santa Cruz, Arizona","46,498",14.5,0.0,0.0,5.6
"Yolo, California","220,500",12.2,0.0,0.0,5.0
"Newton, Arkansas","7,753",22.0,0.0,0.0,8.6
"Yell, Arkansas","21,341",23.1,0.0,0.0,9.3
"Montezuma, Colorado","26,183",18.4,0.0,0.0,6.1
"Cherokee, Alabama","26,196",24.7,0.0,0.0,9.5
"Haines, Alaska","2,530",17.9,0.0,0.0,5.8
"Pima, Arizona","1,047,279",14.3,0.0,0.0,5.5
"Sharp, Arkansas","17,442",27.3,0.0,0.0,10.6
"Logan, Colorado","22,409",18.5,0.0,0.0,6.0
"Inyo, California","18,039",13.6,0.0,0.0,5.4
"Russell, Alabama","57,961",21.7,0.0,0.0,8.3
"Jefferson, Alabama","658,573",17.6,0.0,0.0,7.0
"Howard, Arkansas","13,202",21.7,0.0,0.0,8.8
"Little River, Arkansas","12,259",22.9,0.0,0.0,8.8
"Fairbanks North Star, Alaska","96,849",17.6,0.0,0.0,5.3
"Santa Cruz, California","273,213",11.4,0.0,0.0,4.8
"Adams, Colorado","517,421",15.0,0.0,0.0,4.7
"Glenn, California","28,393",15.2,0.0,0.0,6.3
"Mesa, Colorado","154,210",17.9,0.0,0.0,5.6
"Perry, Alabama","8,923",25.4,0.0,0.0,10.5
"Los Angeles, California","10,039,107",10.9,0.0,0.0,4.3
"Cheyenne, Colorado","1,831",17.2,0.0,0.0,5.5
"Lincoln, Arkansas","13,024",24.8,0.0,0.0,9.2
"Yavapai, Arizona","235,099",17.2,0.0,0.0,6.6
"Cochise, Arizona","125,922",17.6,0.0,0.0,6.1
"Franklin, Alabama","31,362",22.8,0.0,0.0,8.9
"Houston, Alabama","105,882",21.7,0.0,0.0,8.3
