State_County,Days_With_AQI,Good_Days,Moderate_Days,Unhealthy_For_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous Days
"Alabama, Baldwin",271,237,34,0,0,0,0
"Alabama, Clay",107,97,10,0,0,0,0
"Alabama, Colbert",263,252,11,0,0,0,0
"Alabama, DeKalb",361,324,37,0,0,0,0
"Alabama, Elmore",228,208,20,0,0,0,0
"Alabama, Etowah",279,232,47,0,0,0,0
"Alabama, Houston",280,256,24,0,0,0,0
"Alabama, Jefferson",365,160,192,13,0,0,0
"Alabama, Lawrence",112,111,1,0,0,0,0
"Alabama, Madison",361,255,106,0,0,0,0
"Alabama, Mobile",352,246,106,0,0,0,0
"Alabama, Montgomery",365,171,193,1,0,0,0
"Alabama, Morgan",365,306,59,0,0,0,0
"Alabama, Russell",363,268,95,0,0,0,0
"Alabama, Shelby",244,202,39,3,0,0,0
"Alabama, Sumter",354,328,26,0,0,0,0
"Alabama, Tuscaloosa",264,240,24,0,0,0,0
"Alaska, Aleutians East ",121,121,0,0,0,0,0
"Alaska, Anchorage ",365,289,67,5,4,0,0
"Alaska, Bethel ",317,304,11,1,1,0,0
"Alaska, Denali ",360,356,4,0,0,0,0
"Alaska, Fairbanks North Star ",365,230,96,18,16,1,4
"Alaska, Juneau ",362,308,51,3,0,0,0
"Alaska, Kenai Peninsula ",118,115,2,1,0,0,0
"Alaska, Matanuska-Susitna ",361,295,63,3,0,0,0
"Alaska, North Slope ",110,109,1,0,0,0,0
"Arizona, Apache",359,358,1,0,0,0,0
"Arizona, Cochise",365,266,99,0,0,0,0
"Arizona, Coconino",365,289,76,0,0,0,0
"Arizona, Gila",365,210,139,16,0,0,0
"Arizona, La Paz",364,304,60,0,0,0,0
"Arizona, Maricopa",365,66,261,38,0,0,0
"Arizona, Mohave",365,358,7,0,0,0,0
"Arizona, Navajo",365,294,70,1,0,0,0
"Arizona, Pima",365,225,138,2,0,0,0
"Arizona, Pinal",365,123,209,21,2,3,7
"Arizona, Santa Cruz",362,280,80,2,0,0,0
"Arizona, Yavapai",357,299,58,0,0,0,0
"Arizona, Yuma",365,265,97,3,0,0,0
"Arkansas, Arkansas",118,101,17,0,0,0,0
"Arkansas, Ashley",120,103,17,0,0,0,0
"Arkansas, Benton",146,120,26,0,0,0,0
"Arkansas, Clark",355,347,8,0,0,0,0
"Arkansas, Craighead",49,43,6,0,0,0,0
"Arkansas, Crittenden",365,290,74,1,0,0,0
"Arkansas, Garland",121,93,28,0,0,0,0
"Arkansas, Jackson",117,102,15,0,0,0,0
"Arkansas, Newton",365,347,18,0,0,0,0
"Arkansas, Polk",361,312,48,1,0,0,0
"Arkansas, Pulaski",365,235,130,0,0,0,0
"Arkansas, Union",241,196,45,0,0,0,0
"Arkansas, Washington",365,284,81,0,0,0,0
"California, Alameda",365,260,97,8,0,0,0
"California, Amador",355,308,45,2,0,0,0
"California, Butte",365,224,136,3,2,0,0
"California, Calaveras",360,299,60,1,0,0,0
"California, Colusa",365,294,71,0,0,0,0
"California, Contra Costa",365,292,69,4,0,0,0
"California, Del Norte",248,236,12,0,0,0,0
"California, El Dorado",365,273,86,6,0,0,0
"California, Fresno",365,139,160,64,2,0,0
"California, Glenn",362,302,60,0,0,0,0
"California, Humboldt",363,353,10,0,0,0,0
"California, Imperial",365,125,219,19,2,0,0
"California, Inyo",365,232,121,6,2,1,3
"California, Kern",365,119,151,87,6,1,1
"California, Kings",365,152,172,37,2,0,2
"California, Lake",360,360,0,0,0,0,0
"California, Los Angeles",365,66,213,57,28,1,0
"California, Madera",365,189,163,13,0,0,0
"California, Marin",363,337,25,1,0,0,0
"California, Mariposa",365,221,130,9,5,0,0
"California, Mendocino",361,334,27,0,0,0,0
"California, Merced",365,213,145,7,0,0,0
"California, Mono",365,270,80,6,0,0,9
"California, Monterey",365,330,34,1,0,0,0
"California, Napa",363,330,31,2,0,0,0
"California, Nevada",361,273,83,5,0,0,0
"California, Orange",365,213,136,15,1,0,0
"California, Placer",365,239,117,9,0,0,0
"California, Plumas",341,248,88,5,0,0,0
"California, Riverside",365,75,170,91,29,0,0
"California, Sacramento",365,213,142,10,0,0,0
"California, San Benito",365,326,39,0,0,0,0
"California, San Bernardino",365,55,177,71,54,8,0
"California, San Diego",365,87,253,23,2,0,0
"California, San Francisco",365,313,51,1,0,0,0
"California, San Joaquin",365,231,122,11,1,0,0
"California, San Luis Obispo",365,230,132,3,0,0,0
"California, San Mateo",365,327,36,2,0,0,0
"California, Santa Barbara",365,286,78,1,0,0,0
"California, Santa Clara",365,271,90,4,0,0,0
"California, Santa Cruz",365,347,18,0,0,0,0
"California, Shasta",364,311,53,0,0,0,0
"California, Siskiyou",365,332,29,2,2,0,0
"California, Solano",365,290,74,1,0,0,0
"California, Sonoma",365,348,17,0,0,0,0
"California, Stanislaus",365,201,141,22,1,0,0
"California, Sutter",365,239,124,2,0,0,0
"California, Tehama",365,282,83,0,0,0,0
"California, Trinity",269,246,21,2,0,0,0
"California, Tulare",365,127,157,78,2,1,0
"California, Tuolumne",358,273,83,2,0,0,0
"California, Ventura",365,214,142,9,0,0,0
"California, Yolo",365,284,80,1,0,0,0
"Colorado, Adams",365,223,141,1,0,0,0
"Colorado, Alamosa",107,107,0,0,0,0,0
"Colorado, Arapahoe",365,227,132,6,0,0,0
"Colorado, Archuleta",363,331,30,2,0,0,0
"Colorado, Boulder",365,227,133,5,0,0,0
"Colorado, Clear Creek",290,205,84,1,0,0,0
"Colorado, Delta",365,339,26,0,0,0,0
"Colorado, Denver",365,180,182,2,1,0,0
"Colorado, Douglas",361,236,114,10,1,0,0
"Colorado, El Paso",365,259,106,0,0,0,0
"Colorado, Fremont",32,32,0,0,0,0,0
"Colorado, Garfield",365,309,56,0,0,0,0
"Colorado, Gilpin",143,117,25,1,0,0,0
"Colorado, Gunnison",358,279,78,1,0,0,0
"Colorado, Jackson",102,102,0,0,0,0,0
"Colorado, Jefferson",365,238,111,16,0,0,0
"Colorado, La Plata",365,274,91,0,0,0,0
"Colorado, Larimer",365,208,151,6,0,0,0
"Colorado, Mesa",364,289,75,0,0,0,0
"Colorado, Montezuma",365,279,86,0,0,0,0
"Colorado, Pitkin",121,121,0,0,0,0,0
"Colorado, Prowers",346,343,3,0,0,0,0
"Colorado, Pueblo",126,125,1,0,0,0,0
"Colorado, Rio Blanco",365,311,54,0,0,0,0
"Colorado, Routt",356,353,2,1,0,0,0
"Colorado, San Juan",116,116,0,0,0,0,0
"Colorado, San Miguel",113,112,1,0,0,0,0
"Colorado, Weld",365,252,110,3,0,0,0
"Connecticut, Fairfield",365,262,82,18,3,0,0
"Connecticut, Hartford",365,301,59,5,0,0,0
"Connecticut, Litchfield",365,342,23,0,0,0,0
"Connecticut, Middlesex",205,175,23,6,1,0,0
"Connecticut, New Haven",365,280,71,12,2,0,0
"Connecticut, New London",364,323,34,7,0,0,0
"Connecticut, Tolland",212,187,20,5,0,0,0
"Connecticut, Windham",360,344,15,1,0,0,0
"Country Of Mexico, BAJA CALIFORNIA NORTE",32,5,19,8,0,0,0
"Country Of Mexico, SONORA",358,288,65,5,0,0,0
"Delaware, Kent",365,293,72,0,0,0,0
"Delaware, New Castle",365,259,103,3,0,0,0
"Delaware, Sussex",365,299,66,0,0,0,0
"District Of Columbia, District of Columbia",365,242,118,4,1,0,0
"Florida, Alachua",364,329,35,0,0,0,0
"Florida, Baker",361,341,20,0,0,0,0
"Florida, Bay",357,308,49,0,0,0,0
"Florida, Brevard",351,336,15,0,0,0,0
"Florida, Broward",363,303,60,0,0,0,0
"Florida, Citrus",357,329,28,0,0,0,0
"Florida, Collier",362,331,31,0,0,0,0
"Florida, Columbia",363,294,69,0,0,0,0
"Florida, Duval",361,248,112,1,0,0,0
"Florida, Escambia",365,290,74,1,0,0,0
"Florida, Flagler",270,265,5,0,0,0,0
"Florida, Hamilton",316,280,36,0,0,0,0
"Florida, Highlands",233,224,9,0,0,0,0
"Florida, Hillsborough",365,282,78,5,0,0,0
"Florida, Holmes",362,289,73,0,0,0,0
"Florida, Indian River",335,324,11,0,0,0,0
"Florida, Lake",330,301,28,1,0,0,0
"Florida, Lee",365,328,36,1,0,0,0
"Florida, Leon",360,275,84,1,0,0,0
"Florida, Liberty",351,339,12,0,0,0,0
"Florida, Manatee",365,333,30,2,0,0,0
"Florida, Marion",365,311,54,0,0,0,0
"Florida, Martin",352,323,29,0,0,0,0
"Florida, Miami-Dade",363,317,44,2,0,0,0
"Florida, Nassau",270,249,21,0,0,0,0
"Florida, Okaloosa",363,335,28,0,0,0,0
"Florida, Orange",360,321,39,0,0,0,0
"Florida, Osceola",364,338,22,4,0,0,0
"Florida, Palm Beach",357,320,37,0,0,0,0
"Florida, Pasco",365,336,29,0,0,0,0
"Florida, Pinellas",365,296,69,0,0,0,0
"Florida, Polk",365,314,51,0,0,0,0
"Florida, Putnam",351,346,5,0,0,0,0
"Florida, Santa Rosa",364,307,57,0,0,0,0
"Florida, Sarasota",365,323,42,0,0,0,0
"Florida, Seminole",365,322,42,1,0,0,0
"Florida, St. Lucie",352,342,10,0,0,0,0
"Florida, Volusia",350,316,34,0,0,0,0
"Florida, Wakulla",361,314,47,0,0,0,0
"Georgia, Bibb",362,275,84,3,0,0,0
"Georgia, Charlton",103,100,3,0,0,0,0
"Georgia, Chatham",335,277,58,0,0,0,0
"Georgia, Chattooga",244,231,13,0,0,0,0
"Georgia, Clarke",365,245,120,0,0,0,0
"Georgia, Clayton",119,98,21,0,0,0,0
"Georgia, Cobb",282,224,57,1,0,0,0
"Georgia, Coffee",121,107,14,0,0,0,0
"Georgia, Columbia",245,229,16,0,0,0,0
"Georgia, Dawson",244,225,18,1,0,0,0
"Georgia, DeKalb",365,251,110,3,1,0,0
"Georgia, Dougherty",356,236,118,2,0,0,0
"Georgia, Douglas",245,212,28,5,0,0,0
"Georgia, Floyd",363,215,148,0,0,0,0
"Georgia, Fulton",365,192,166,6,1,0,0
"Georgia, Glynn",279,254,25,0,0,0,0
"Georgia, Gwinnett",355,221,132,2,0,0,0
"Georgia, Hall",340,259,81,0,0,0,0
"Georgia, Henry",363,283,73,7,0,0,0
"Georgia, Houston",354,246,106,1,1,0,0
"Georgia, Lowndes",309,255,54,0,0,0,0
"Georgia, Murray",269,230,39,0,0,0,0
"Georgia, Muscogee",364,274,90,0,0,0,0
"Georgia, Pike",353,307,43,3,0,0,0
"Georgia, Richmond",364,238,124,2,0,0,0
"Georgia, Rockdale",241,186,50,5,0,0,0
"Georgia, Sumter",238,211,27,0,0,0,0
"Georgia, Walker",356,269,87,0,0,0,0
"Georgia, Washington",211,176,34,1,0,0,0
"Hawaii, Hawaii",365,361,4,0,0,0,0
"Hawaii, Honolulu",365,362,3,0,0,0,0
"Hawaii, Kauai",363,362,1,0,0,0,0
"Hawaii, Maui",362,347,11,3,1,0,0
"Idaho, Ada",365,317,48,0,0,0,0
"Idaho, Bannock",365,351,14,0,0,0,0
"Idaho, Benewah",364,242,111,9,2,0,0
"Idaho, Blaine",314,313,1,0,0,0,0
"Idaho, Boise",365,290,72,2,1,0,0
"Idaho, Bonner",365,316,48,1,0,0,0
"Idaho, Bonneville",357,342,15,0,0,0,0
"Idaho, Butte",361,348,13,0,0,0,0
"Idaho, Canyon",365,311,54,0,0,0,0
"Idaho, Custer",96,96,0,0,0,0,0
"Idaho, Franklin",364,333,28,3,0,0,0
"Idaho, Idaho",365,297,68,0,0,0,0
