,State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
0,Alabama,Baldwin,523.0,455.0,66.0,2.0,0.0,0.0,0.0,"Alabama, Baldwin"
1,Alabama,Clay,226.0,194.0,32.0,0.0,0.0,0.0,0.0,"Alabama, Clay"
2,Alabama,Colbert,586.0,472.0,114.0,0.0,0.0,0.0,0.0,"Alabama, Colbert"
3,Alabama,DeKalb,724.0,635.0,89.0,0.0,0.0,0.0,0.0,"Alabama, DeKalb"
4,Alabama,Elmore,472.0,436.0,36.0,0.0,0.0,0.0,0.0,"Alabama, Elmore"
5,Alabama,Etowah,638.0,460.0,178.0,0.0,0.0,0.0,0.0,"Alabama, Etowah"
6,Alabama,Houston,595.0,517.0,78.0,0.0,0.0,0.0,0.0,"Alabama, Houston"
7,Alabama,Jefferson,730.0,287.0,424.0,19.0,0.0,0.0,0.0,"Alabama, Jefferson"
8,Alabama,Lawrence,208.0,198.0,10.0,0.0,0.0,0.0,0.0,"Alabama, Lawrence"
9,Alabama,Madison,710.0,527.0,182.0,1.0,0.0,0.0,0.0,"Alabama, Madison"
10,Alabama,Mobile,710.0,551.0,155.0,4.0,0.0,0.0,0.0,"Alabama, Mobile"
11,Alabama,Montgomery,688.0,387.0,300.0,1.0,0.0,0.0,0.0,"Alabama, Montgomery"
12,Alabama,Morgan,686.0,484.0,202.0,0.0,0.0,0.0,0.0,"Alabama, Morgan"
13,Alabama,Russell,708.0,482.0,225.0,1.0,0.0,0.0,0.0,"Alabama, Russell"
14,Alabama,Shelby,527.0,431.0,90.0,6.0,0.0,0.0,0.0,"Alabama, Shelby"
15,Alabama,Sumter,593.0,565.0,28.0,0.0,0.0,0.0,0.0,"Alabama, Sumter"
16,Alabama,Tuscaloosa,570.0,470.0,99.0,1.0,0.0,0.0,0.0,"Alabama, Tuscaloosa"
17,Alaska,Aleutians East ,241.0,240.0,1.0,0.0,0.0,0.0,0.0,"Alaska, Aleutians East "
18,Alaska,Anchorage ,727.0,573.0,144.0,6.0,4.0,0.0,0.0,"Alaska, Anchorage "
19,Alaska,Bethel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Alaska, Bethel "
20,Alaska,Denali ,719.0,707.0,11.0,1.0,0.0,0.0,0.0,"Alaska, Denali "
21,Alaska,Fairbanks North Star ,727.0,455.0,186.0,46.0,33.0,2.0,5.0,"Alaska, Fairbanks North Star "
22,Alaska,Juneau ,665.0,555.0,105.0,5.0,0.0,0.0,0.0,"Alaska, Juneau "
23,Alaska,Kenai Peninsula ,235.0,232.0,2.0,1.0,0.0,0.0,0.0,"Alaska, Kenai Peninsula "
24,Alaska,Matanuska-Susitna ,487.0,406.0,77.0,4.0,0.0,0.0,0.0,"Alaska, Matanuska-Susitna "
25,Alaska,North Slope ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Alaska, North Slope "
26,Arizona,Apache,723.0,706.0,17.0,0.0,0.0,0.0,0.0,"Arizona, Apache"
27,Arizona,Cochise,728.0,532.0,195.0,1.0,0.0,0.0,0.0,"Arizona, Cochise"
28,Arizona,Coconino,728.0,551.0,177.0,0.0,0.0,0.0,0.0,"Arizona, Coconino"
29,Arizona,Gila,672.0,379.0,271.0,22.0,0.0,0.0,0.0,"Arizona, Gila"
30,Arizona,La Paz,577.0,434.0,141.0,2.0,0.0,0.0,0.0,"Arizona, La Paz"
