State_County,StateDesc,LocationName,Levels_Smokers,Levels_COPD,Low CL COPD,High CL COPD
"Iowa, Cass",Iowa,Cass,19.3,8.3,7.0,9.8
"Iowa, Monona",Iowa,Monona,18.5,8.3,7.0,9.5
"Alaska, Dillingham",Alaska,Dillingham,31.1,8.9,7.7,10.0
"Colorado, Custer",Colorado,Custer,13.8,7.5,6.1,9.0
"Alaska, Ketchikan Gateway",Alaska,Ketchikan Gateway,19.4,6.6,5.8,7.5
"California, Mendocino",California,Mendocino,14.3,7.4,6.4,8.6
"Arkansas, Jefferson",Arkansas,Jefferson,22.9,9.6,8.5,10.6
"Arkansas, Van Buren",Arkansas,Van Buren,22.8,13.0,11.2,15.0
"Alabama, Limestone",Alabama,Limestone,20.7,8.4,7.2,9.6
"Arkansas, Perry",Arkansas,Perry,22.6,11.1,9.6,12.6
"Arkansas, Carroll",Arkansas,Carroll,19.2,9.8,8.4,11.2
"Arkansas, Phillips",Arkansas,Phillips,24.2,12.6,11.3,14.0
"Arkansas, Arkansas",Arkansas,Arkansas,22.5,10.6,9.3,11.9
"California, Kern",California,Kern,15.3,5.7,5.2,6.3
"Arkansas, Madison",Arkansas,Madison,23.5,11.3,9.8,13.0
"Colorado, Otero",Colorado,Otero,16.3,7.1,6.3,7.9
"Colorado, Crowley",Colorado,Crowley,21.2,6.2,5.6,6.9
"California, El Dorado",California,El Dorado,11.7,6.1,5.2,7.2
"Alabama, Bullock",Alabama,Bullock,25.0,10.0,9.0,11.2
"California, Sonoma",California,Sonoma,11.1,5.4,4.6,6.3
"California, Del Norte",California,Del Norte,17.5,8.0,7.0,9.0
"Alaska, Kodiak Island",Alaska,Kodiak Island,16.9,5.0,4.4,5.6
"Arkansas, Columbia",Arkansas,Columbia,22.0,9.7,8.7,10.7
"Arkansas, Cross",Arkansas,Cross,23.5,10.6,9.3,11.8
"Alabama, Jackson",Alabama,Jackson,23.0,11.6,10.1,13.2
"Alabama, Coosa",Alabama,Coosa,22.2,11.3,10.0,12.8
"Colorado, Baca",Colorado,Baca,17.8,8.7,7.3,10.2
"Alabama, Marion",Alabama,Marion,22.8,11.6,10.0,13.3
"Arkansas, Ashley",Arkansas,Ashley,22.9,10.9,9.6,12.0
"Colorado, Conejos",Colorado,Conejos,14.9,6.3,5.5,7.0
"California, Santa Clara",California,Santa Clara,8.8,3.5,3.1,4.0
"Colorado, Gilpin",Colorado,Gilpin,13.4,5.2,4.3,6.2
