StateDesc,LocationName,Levels_COPD,Low CL COPD,High CL COPD,State_County,Levels_Smokers,Total_Population,Location_ID,Geolocation
Iowa,Cass,8.3,7.0,9.8,"Iowa, Cass",19.3,"12,836",19029,POINT (-94.92791359 41.33146007)
Iowa,Monona,8.3,7.0,9.5,"Iowa, Monona",18.5,"8,615",19133,POINT (-95.95997093 42.05236881)
Alaska,Dillingham,8.9,7.7,10.0,"Alaska, Dillingham",31.1,"4,916",2070,POINT (-158.2125392 59.79999618)
Colorado,Custer,7.5,6.1,9.0,"Colorado, Custer",13.8,"5,068",8027,POINT (-105.3669993 38.10865771)
Alaska,Ketchikan Gateway,6.6,5.8,7.5,"Alaska, Ketchikan Gateway",19.4,"13,901",2130,POINT (-130.9352394 55.58863162)
California,Mendocino,7.4,6.4,8.6,"California, Mendocino",14.3,"86,749",6045,POINT (-123.3914133 39.44035366)
Arkansas,Jefferson,9.6,8.5,10.6,"Arkansas, Jefferson",22.9,"66,824",5069,POINT (-91.93188484 34.26873626)
Arkansas,Van Buren,13.0,11.2,15.0,"Arkansas, Van Buren",22.8,"16,545",5141,POINT (-92.51564197 35.58056473)
Alabama,Limestone,8.4,7.2,9.6,"Alabama, Limestone",20.7,"98,915",1083,POINT (-86.98204165 34.81026419)
Arkansas,Perry,11.1,9.6,12.6,"Arkansas, Perry",22.6,"10,455",5105,POINT (-92.9314862 34.94710024)
Arkansas,Carroll,9.8,8.4,11.2,"Arkansas, Carroll",19.2,"28,380",5015,POINT (-93.53833197 36.34098375)
Arkansas,Phillips,12.6,11.3,14.0,"Arkansas, Phillips",24.2,"17,782",5107,POINT (-90.84788141 34.42859172)
Arkansas,Arkansas,10.6,9.3,11.9,"Arkansas, Arkansas",22.5,"17,486",5001,POINT (-91.3748863 34.29096754)
California,Kern,5.7,5.2,6.3,"California, Kern",15.3,"900,202",6029,POINT (-118.730066 35.34295136)
Arkansas,Madison,11.3,9.8,13.0,"Arkansas, Madison",23.5,"16,576",5087,POINT (-93.72471538 36.0109104)
Colorado,Otero,7.1,6.3,7.9,"Colorado, Otero",16.3,"18,278",8089,POINT (-103.7167076 37.9024143)
Colorado,Crowley,6.2,5.6,6.9,"Colorado, Crowley",21.2,"6,061",8025,POINT (-103.7843752 38.32649889)
California,El Dorado,6.1,5.2,7.2,"California, El Dorado",11.7,"192,843",6017,POINT (-120.525118 38.77927687)
Alabama,Bullock,10.0,9.0,11.2,"Alabama, Bullock",25.0,"10,101",1011,POINT (-85.71563262 32.10044482)
California,Sonoma,5.4,4.6,6.3,"California, Sonoma",11.1,"494,336",6097,POINT (-122.8876375 38.52854399)
California,Del Norte,8.0,7.0,9.0,"California, Del Norte",17.5,"27,812",6015,POINT (-123.8987443 41.74313957)
Alaska,Kodiak Island,5.0,4.4,5.6,"Alaska, Kodiak Island",16.9,"12,998",2150,POINT (-153.7816117 57.66814491)
Arkansas,Columbia,9.7,8.7,10.7,"Arkansas, Columbia",22.0,"23,457",5027,POINT (-93.22734359 33.21420367)
Arkansas,Cross,10.6,9.3,11.8,"Arkansas, Cross",23.5,"16,419",5037,POINT (-90.77162753 35.29535703)
Alabama,Jackson,11.6,10.1,13.2,"Alabama, Jackson",23.0,"51,626",1071,POINT (-85.99947453 34.77967706)
