State_County,State,County,Levels_Smokers,Levels_COPD
"Iowa, Cass",Iowa,Cass,19.3,8.3
"Iowa, Monona",Iowa,Monona,18.5,8.3
"Alaska, Dillingham",Alaska,Dillingham,31.1,8.9
"Colorado, Custer",Colorado,Custer,13.8,7.5
"Alaska, Ketchikan Gateway",Alaska,Ketchikan Gateway,19.4,6.6
"California, Mendocino",California,Mendocino,14.3,7.4
"Arkansas, Jefferson",Arkansas,Jefferson,22.9,9.6
"Arkansas, Van Buren",Arkansas,Van Buren,22.8,13.0
"Alabama, Limestone",Alabama,Limestone,20.7,8.4
"Arkansas, Perry",Arkansas,Perry,22.6,11.1
"Arkansas, Carroll",Arkansas,Carroll,19.2,9.8
"Arkansas, Phillips",Arkansas,Phillips,24.2,12.6
"Arkansas, Arkansas",Arkansas,Arkansas,22.5,10.6
"California, Kern",California,Kern,15.3,5.7
"Arkansas, Madison",Arkansas,Madison,23.5,11.3
"Colorado, Otero",Colorado,Otero,16.3,7.1
"Colorado, Crowley",Colorado,Crowley,21.2,6.2
"California, El Dorado",California,El Dorado,11.7,6.1
"Alabama, Bullock",Alabama,Bullock,25.0,10.0
"California, Sonoma",California,Sonoma,11.1,5.4
"California, Del Norte",California,Del Norte,17.5,8.0
"Alaska, Kodiak Island",Alaska,Kodiak Island,16.9,5.0
"Arkansas, Columbia",Arkansas,Columbia,22.0,9.7
"Arkansas, Cross",Arkansas,Cross,23.5,10.6
"Alabama, Jackson",Alabama,Jackson,23.0,11.6
"Alabama, Coosa",Alabama,Coosa,22.2,11.3
"Colorado, Baca",Colorado,Baca,17.8,8.7
"Alabama, Marion",Alabama,Marion,22.8,11.6
"Arkansas, Ashley",Arkansas,Ashley,22.9,10.9
"Colorado, Conejos",Colorado,Conejos,14.9,6.3
"California, Santa Clara",California,Santa Clara,8.8,3.5
"Colorado, Gilpin",Colorado,Gilpin,13.4,5.2
"Arkansas, Desha",Arkansas,Desha,25.0,12.0
,United States,,15.3,6.6
"California, Los Angeles",California,Los Angeles,10.9,4.3
"Arkansas, Searcy",Arkansas,Searcy,23.7,13.4
"Alabama, Perry",Alabama,Perry,22.7,11.8
"Alaska, Fairbanks North Star",Alaska,Fairbanks North Star,17.6,4.9
"California, Glenn",California,Glenn,14.9,6.7
"Arkansas, Lincoln",Arkansas,Lincoln,24.5,9.5
"Alabama, Calhoun",Alabama,Calhoun,21.8,9.8
"Alaska, Anchorage",Alaska,Anchorage,15.5,4.9
"Alaska, Matanuska-Susitna",Alaska,Matanuska-Susitna,20.1,6.4
