State_County,State,County,Levels_Smokers,Levels_COPD
"Cass, Iowa",Iowa,Cass,19.3,8.3
"Monona, Iowa",Iowa,Monona,18.5,8.3
"Dillingham, Alaska",Alaska,Dillingham,31.1,8.9
"Custer, Colorado",Colorado,Custer,13.8,7.5
"Ketchikan Gateway, Alaska",Alaska,Ketchikan Gateway,19.4,6.6
"Mendocino, California",California,Mendocino,14.3,7.4
"Jefferson, Arkansas",Arkansas,Jefferson,22.9,9.6
"Van Buren, Arkansas",Arkansas,Van Buren,22.8,13.0
"Limestone, Alabama",Alabama,Limestone,20.7,8.4
"Perry, Arkansas",Arkansas,Perry,22.6,11.1
"Carroll, Arkansas",Arkansas,Carroll,19.2,9.8
"Phillips, Arkansas",Arkansas,Phillips,24.2,12.6
"Arkansas, Arkansas",Arkansas,Arkansas,22.5,10.6
"Kern, California",California,Kern,15.3,5.7
"Madison, Arkansas",Arkansas,Madison,23.5,11.3
"Otero, Colorado",Colorado,Otero,16.3,7.1
"Crowley, Colorado",Colorado,Crowley,21.2,6.2
"El Dorado, California",California,El Dorado,11.7,6.1
"Bullock, Alabama",Alabama,Bullock,25.0,10.0
"Sonoma, California",California,Sonoma,11.1,5.4
"Del Norte, California",California,Del Norte,17.5,8.0
"Kodiak Island, Alaska",Alaska,Kodiak Island,16.9,5.0
"Columbia, Arkansas",Arkansas,Columbia,22.0,9.7
"Cross, Arkansas",Arkansas,Cross,23.5,10.6
"Jackson, Alabama",Alabama,Jackson,23.0,11.6
"Coosa, Alabama",Alabama,Coosa,22.2,11.3
"Baca, Colorado",Colorado,Baca,17.8,8.7
"Marion, Alabama",Alabama,Marion,22.8,11.6
"Ashley, Arkansas",Arkansas,Ashley,22.9,10.9
"Conejos, Colorado",Colorado,Conejos,14.9,6.3
"Santa Clara, California",California,Santa Clara,8.8,3.5
"Gilpin, Colorado",Colorado,Gilpin,13.4,5.2
"Desha, Arkansas",Arkansas,Desha,25.0,12.0
"nan, United States",United States,,15.3,6.6
"Los Angeles, California",California,Los Angeles,10.9,4.3
"Searcy, Arkansas",Arkansas,Searcy,23.7,13.4
"Perry, Alabama",Alabama,Perry,22.7,11.8
"Fairbanks North Star, Alaska",Alaska,Fairbanks North Star,17.6,4.9
"Glenn, California",California,Glenn,14.9,6.7
"Lincoln, Arkansas",Arkansas,Lincoln,24.5,9.5
"Calhoun, Alabama",Alabama,Calhoun,21.8,9.8
"Anchorage, Alaska",Alaska,Anchorage,15.5,4.9
"Matanuska-Susitna, Alaska",Alaska,Matanuska-Susitna,20.1,6.4
"Tallapoosa, Alabama",Alabama,Tallapoosa,22.2,11.0
"Cheyenne, Colorado",Colorado,Cheyenne,16.3,6.8
"Santa Barbara, California",California,Santa Barbara,11.1,4.8
"Monterey, California",California,Monterey,12.0,5.0
"Etowah, Alabama",Alabama,Etowah,22.5,10.0
"Valdez-Cordova, Alaska",Alaska,Valdez-Cordova,17.3,6.0
"Kiowa, Colorado",Colorado,Kiowa,16.9,8.0
"Montgomery, Alabama",Alabama,Montgomery,19.6,7.7
"Napa, California",California,Napa,10.6,4.9
"Denver, Colorado",Colorado,Denver,13.8,3.9
"Arapahoe, Colorado",Colorado,Arapahoe,13.4,4.2
"Dolores, Colorado",Colorado,Dolores,16.0,7.4
"Placer, California",California,Placer,10.6,5.2
"Archuleta, Colorado",Colorado,Archuleta,13.5,6.4
"Logan, Colorado",Colorado,Logan,17.8,6.3
"Cleveland, Arkansas",Arkansas,Cleveland,22.5,11.1
"Sharp, Arkansas",Arkansas,Sharp,24.7,13.8
"Logan, Arkansas",Arkansas,Logan,22.6,11.3
"Cleburne, Alabama",Alabama,Cleburne,22.7,10.9
"Nevada, California",California,Nevada,11.4,6.9
"White, Arkansas",Arkansas,White,22.2,9.6
"Lincoln, Colorado",Colorado,Lincoln,18.9,6.6
"Hinsdale, Colorado",Colorado,Hinsdale,12.4,6.5
"Calhoun, Arkansas",Arkansas,Calhoun,22.0,10.7
"Lake, California",California,Lake,15.8,8.4
"Autauga, Alabama",Alabama,Autauga,19.3,8.4
"Izard, Arkansas",Arkansas,Izard,21.7,11.5
"La Paz, Arizona",Arizona,La Paz,16.9,11.5
"Mobile, Alabama",Alabama,Mobile,20.8,8.9
"Washington, Arkansas",Arkansas,Washington,18.3,6.7
"Mariposa, California",California,Mariposa,13.5,8.2
"St. Francis, Arkansas",Arkansas,St. Francis,24.6,10.2
"Lawrence, Alabama",Alabama,Lawrence,24.6,11.3
"Conecuh, Alabama",Alabama,Conecuh,23.3,11.7
"Lee, Arkansas",Arkansas,Lee,24.3,11.0
"Stanislaus, California",California,Stanislaus,14.2,5.7
"Siskiyou, California",California,Siskiyou,14.4,8.5
"Wilcox, Alabama",Alabama,Wilcox,25.6,12.6
"Fremont, Colorado",Colorado,Fremont,18.2,7.2
"Yuma, Arizona",Arizona,Yuma,14.4,6.7
"Lauderdale, Alabama",Alabama,Lauderdale,19.0,9.2
"Plumas, California",California,Plumas,12.8,7.7
