State_County,State,County,Surface_Mines,Underground_Mines
"Pennsylvania, Clearfield",Alabama,Walker,22,2.0
"Pennsylvania, Schuylkill",Alabama,Jefferson,22,5.0
"Pennsylvania, Somerset",Alabama,Jefferson,13,5.0
"West Virginia, Mcdowell",Alabama,Tuscaloosa,13,12.0
"Kentucky, Pike",Alabama,Jefferson,13,14.0
"Wyoming, Campbell",Alabama,Walker,11,0.0
"Pennsylvania, Northumberland",Alabama,Tuscaloosa,10,3.0
"West Virginia, Logan",Alabama,Jefferson,9,12.0
"Virginia, Buchanan",West Virginia,Nicholas,9,8.0
"Virginia, Wise",Alabama,Walker,8,5.0
"West Virginia, Boone",Alabama,Jefferson,8,5.0
"Kentucky, Bell",Alabama,Walker,8,2.0
"Maryland, Allegany",Alabama,Tuscaloosa,7,0.0
"Alabama, Jefferson",Alabama,Jefferson,7,3.0
"Alabama, Walker",Alabama,Jefferson,7,2.0
"Kentucky, Harlan",Alabama,Tuscaloosa,7,5.0
"West Virginia, Mingo",Alabama,De Kalb,6,2.0
"Pennsylvania, Cambria",Alabama,Walker,6,2.0
"West Virginia, Wyoming",Alabama,Shelby,6,8.0
"Pennsylvania, Jefferson",Alabama,Walker,5,1.0
"Virginia, Dickenson",Alabama,Jefferson,5,4.0
"West Virginia, Raleigh",Alabama,Jefferson,5,8.0
"Kentucky, Whitley",Alabama,Walker,5,0.0
"Pennsylvania, Luzerne",Alabama,Walker,4,0.0
"Alabama, Tuscaloosa",Alabama,Tuscaloosa,4,1.0
"Pennsylvania, Clarion",Colorado,Moffat,4,0.0
"Kentucky, Perry",Colorado,Moffat,4,4.0
"West Virginia, Nicholas",Colorado,Rio Blanco,4,1.0
"Kentucky, Knox",Colorado,Gunnison,4,1.0
"Kentucky, Knott",Colorado,Routt,4,1.0
"West Virginia, Fayette",Colorado,La Plata,3,3.0
"West Virginia, Webster",Illinois,Macoupin,3,0.0
"Maryland, Garrett",Illinois,Sangamon,3,1.0
"Montana, Big Horn",Illinois,Wabash,3,0.0
"North Dakota, Mercer",Illinois,Perry,3,0.0
"Kentucky, Johnson",Illinois,Williamson,3,0.0
"Kentucky, Leslie",Illinois,Perry,3,1.0
"Indiana, Warrick",Illinois,Montgomery,3,0.0
"Pennsylvania, Indiana",Illinois,Franklin,3,7.0
"Pennsylvania, Fayette",Illinois,Washington,3,0.0
"West Virginia, Kanawha",Illinois,Hamilton,3,4.0
"West Virginia, Greenbrier",Illinois,Saline,3,1.0
"Texas, Harrison",Illinois,Randolph,2,0.0
"Ohio, Harrison",Illinois,Randolph,2,2.0
"Pennsylvania, Westmoreland",Illinois,Perry,2,1.0
"Virginia, Russell",Indiana,Pike,2,0.0
"Kentucky, Martin",Indiana,Daviess,2,0.0
"Pennsylvania, Columbia",Indiana,Gibson,2,0.0
"Wyoming, Sweetwater",Indiana,Gibson,2,1.0
"Colorado, Moffat",Indiana,Sullivan,2,0.0
"Virginia, Tazewell",Indiana,Daviess,2,0.0
"Pennsylvania, Bedford",Indiana,Dubois,2,0.0
"Illinois, Perry",Indiana,Gibson,2,1.0
"Kentucky, Letcher",Indiana,Knox,2,0.0
"Indiana, Daviess",Indiana,Knox,2,0.0
"West Virginia, Randolph",Indiana,Sullivan,2,2.0
"Kentucky, Daviess",Indiana,Dubois,2,0.0
"Indiana, Dubois",Indiana,Warrick,2,0.0
"Pennsylvania, Carbon",Illinois,Gibson,1,0.0
"Wyoming, Converse",Indiana,Clay,1,0.0
"Wyoming, Lincoln",Indiana,Spencer,1,0.0
"West Virginia, Grant",Kentucky,Harlan,1,0.0
"West Virginia, Mercer",Kentucky,Perry,1,1.0
"Utah, Kane",Kentucky,Leslie,1,0.0
"West Virginia, Marion",Kentucky,Pike,1,1.0
"Tennessee, Claiborne",Kentucky,Hopkins,1,1.0
"West Virginia, Moffat",Kentucky,Knox,1,0.0
"Texas, Atascosa",Kentucky,Pike,1,0.0
"West Virginia, Mineral",Kentucky,Pike,1,0.0
"Texas, Robertson",Kentucky,Pike,1,0.0
"Texas, Maverick",Kentucky,Pike,1,0.0
"Texas, Limestone",Kentucky,Harlan,1,0.0
"Texas, Rusk",Kentucky,Harlan,1,0.0
"Pennsylvania, Washington",Kentucky,Daviess,1,1.0
"North Dakota, Oliver",Kentucky,Harlan,1,0.0
"Pennsylvania, Lycoming",Kentucky,Knox,1,0.0
"Indiana, Saline",Kentucky,Pike,1,0.0
"Alabama, De Kalb",Kentucky,Perry,1,0.0
"Alabama, Shelby",Kentucky,Floyd,1,0.0
"Illinois, Wabash",Kentucky,Pike,1,0.0
"Illinois, Saline",Kentucky,Pike,1,0.0
"Illinois, Randolph",Kentucky,Pike,1,1.0
"Indiana, Pike",Kentucky,Bell,1,0.0
"Indiana, Gibson",Kentucky,Knott,1,2.0
"Indiana, Sullivan",Kentucky,Perry,1,1.0
"Illinois, Gibson",West Virginia,Mcdowell,1,0.0
"Indiana, Clay",Kentucky,Pike,1,0.0
"Indiana, Spencer",Kentucky,Pike,1,0.0
"Kentucky, Floyd",Kentucky,Pike,1,4.0
"Kentucky, Breathitt",Indiana,Warrick,1,0.0
"Kentucky, Morgan",Kentucky,Perry,1,0.0
"Oklahoma, Craig",West Virginia,Boone,1,0.0
"Louisiana, De Soto",Kentucky,Breathitt,1,0.0
"Louisiana, Natchitoches",Kentucky,Perry,1,0.0
"Mississippi, Choctaw",Kentucky,Pike,1,0.0
"Missouri, Bates",Kentucky,Knox,1,0.0
"Montana, Richland",Kentucky,Floyd,1,0.0
"Montana, Rosebud",Kentucky,Bell,1,0.0
"New Mexico, San Juan",Kentucky,Bell,1,1.0
"New Mexico, Mckinley",Kentucky,Pike,1,0.0
"North Dakota, Mclean",Kentucky,Perry,1,0.0
"Ohio, Belmont",West Virginia,Wyoming,1,0.0
"Ohio, Noble",Kentucky,Union,1,0.0
"Ohio, Tuscarawas",Kentucky,Pike,1,1.0
"Oklahoma, Okmulgee",Kentucky,Perry,1,0.0
"Alaska, Denali",Kentucky,Perry,1,0.0
