State_County,State,County,Days_with_AQI,Good_Days,Moderate_Days,Unhealthy_for_Sensitive_Groups_Days,Unhealthy_Days,Very_Unhealthy_Days,Hazardous_Days
"Alabama, Baldwin",Alabama,Baldwin,523.0,455.0,66.0,2.0,0.0,0.0,0.0
"Alabama, Clay",Alabama,Clay,226.0,194.0,32.0,0.0,0.0,0.0,0.0
"Alabama, Colbert",Alabama,Colbert,586.0,472.0,114.0,0.0,0.0,0.0,0.0
"Alabama, DeKalb",Alabama,DeKalb,724.0,635.0,89.0,0.0,0.0,0.0,0.0
"Alabama, Elmore",Alabama,Elmore,472.0,436.0,36.0,0.0,0.0,0.0,0.0
"Alabama, Etowah",Alabama,Etowah,638.0,460.0,178.0,0.0,0.0,0.0,0.0
"Alabama, Houston",Alabama,Houston,595.0,517.0,78.0,0.0,0.0,0.0,0.0
"Alabama, Jefferson",Alabama,Jefferson,730.0,287.0,424.0,19.0,0.0,0.0,0.0
"Alabama, Lawrence",Alabama,Lawrence,208.0,198.0,10.0,0.0,0.0,0.0,0.0
"Alabama, Madison",Alabama,Madison,710.0,527.0,182.0,1.0,0.0,0.0,0.0
"Alabama, Mobile",Alabama,Mobile,710.0,551.0,155.0,4.0,0.0,0.0,0.0
"Alabama, Montgomery",Alabama,Montgomery,688.0,387.0,300.0,1.0,0.0,0.0,0.0
"Alabama, Morgan",Alabama,Morgan,686.0,484.0,202.0,0.0,0.0,0.0,0.0
"Alabama, Russell",Alabama,Russell,708.0,482.0,225.0,1.0,0.0,0.0,0.0
"Alabama, Shelby",Alabama,Shelby,527.0,431.0,90.0,6.0,0.0,0.0,0.0
"Alabama, Sumter",Alabama,Sumter,593.0,565.0,28.0,0.0,0.0,0.0,0.0
"Alabama, Tuscaloosa",Alabama,Tuscaloosa,570.0,470.0,99.0,1.0,0.0,0.0,0.0
"Alaska, Aleutians East ",Alaska,Aleutians East ,241.0,240.0,1.0,0.0,0.0,0.0,0.0
"Alaska, Anchorage ",Alaska,Anchorage ,727.0,573.0,144.0,6.0,4.0,0.0,0.0
"Alaska, Bethel ",Alaska,Bethel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alaska, Denali ",Alaska,Denali ,719.0,707.0,11.0,1.0,0.0,0.0,0.0
"Alaska, Fairbanks North Star ",Alaska,Fairbanks North Star ,727.0,455.0,186.0,46.0,33.0,2.0,5.0
"Alaska, Juneau ",Alaska,Juneau ,665.0,555.0,105.0,5.0,0.0,0.0,0.0
"Alaska, Kenai Peninsula ",Alaska,Kenai Peninsula ,235.0,232.0,2.0,1.0,0.0,0.0,0.0
"Alaska, Matanuska-Susitna ",Alaska,Matanuska-Susitna ,487.0,406.0,77.0,4.0,0.0,0.0,0.0
"Alaska, North Slope ",Alaska,North Slope ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arizona, Apache",Arizona,Apache,723.0,706.0,17.0,0.0,0.0,0.0,0.0
"Arizona, Cochise",Arizona,Cochise,728.0,532.0,195.0,1.0,0.0,0.0,0.0
"Arizona, Coconino",Arizona,Coconino,728.0,551.0,177.0,0.0,0.0,0.0,0.0
"Arizona, Gila",Arizona,Gila,672.0,379.0,271.0,22.0,0.0,0.0,0.0
"Arizona, La Paz",Arizona,La Paz,577.0,434.0,141.0,2.0,0.0,0.0,0.0
"Arizona, Maricopa",Arizona,Maricopa,730.0,150.0,519.0,57.0,2.0,1.0,1.0
"Arizona, Mohave",Arizona,Mohave,476.0,457.0,19.0,0.0,0.0,0.0,0.0
"Arizona, Navajo",Arizona,Navajo,730.0,573.0,156.0,1.0,0.0,0.0,0.0
"Arizona, Pima",Arizona,Pima,730.0,445.0,281.0,3.0,1.0,0.0,0.0
"Arizona, Pinal",Arizona,Pinal,730.0,166.0,466.0,70.0,11.0,4.0,13.0
"Arizona, Santa Cruz",Arizona,Santa Cruz,708.0,478.0,226.0,3.0,1.0,0.0,0.0
"Arizona, Yavapai",Arizona,Yavapai,621.0,524.0,97.0,0.0,0.0,0.0,0.0
"Arizona, Yuma",Arizona,Yuma,728.0,517.0,199.0,11.0,1.0,0.0,0.0
"Arkansas, Arkansas",Arkansas,Arkansas,238.0,186.0,52.0,0.0,0.0,0.0,0.0
"Arkansas, Ashley",Arkansas,Ashley,236.0,195.0,41.0,0.0,0.0,0.0,0.0
"Arkansas, Benton",Arkansas,Benton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arkansas, Clark",Arkansas,Clark,700.0,681.0,19.0,0.0,0.0,0.0,0.0
"Arkansas, Craighead",Arkansas,Craighead,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arkansas, Crittenden",Arkansas,Crittenden,730.0,601.0,124.0,5.0,0.0,0.0,0.0
"Arkansas, Garland",Arkansas,Garland,242.0,176.0,66.0,0.0,0.0,0.0,0.0
"Arkansas, Jackson",Arkansas,Jackson,233.0,190.0,43.0,0.0,0.0,0.0,0.0
"Arkansas, Newton",Arkansas,Newton,719.0,665.0,54.0,0.0,0.0,0.0,0.0
"Arkansas, Polk",Arkansas,Polk,724.0,601.0,119.0,4.0,0.0,0.0,0.0
"Arkansas, Pulaski",Arkansas,Pulaski,730.0,436.0,290.0,4.0,0.0,0.0,0.0
"Arkansas, Union",Arkansas,Union,343.0,264.0,79.0,0.0,0.0,0.0,0.0
"Arkansas, Washington",Arkansas,Washington,726.0,597.0,127.0,2.0,0.0,0.0,0.0
"California, Alameda",California,Alameda,730.0,450.0,259.0,20.0,1.0,0.0,0.0
"California, Amador",California,Amador,717.0,606.0,108.0,3.0,0.0,0.0,0.0
"California, Butte",California,Butte,730.0,409.0,284.0,34.0,3.0,0.0,0.0
